STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,BGD,Bangladesh,WB_FINDEX_FIN14D,Reason for not having a mobile money account: don't have enough money to use a mobile money account,_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,42.0504393085255,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,BEN,Benin,WB_FINDEX_FIN14D,Reason for not having a mobile money account: don't have enough money to use a mobile money account,_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,25.0003544429879,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,BWA,Botswana,WB_FINDEX_FIN14D,Reason for not having a mobile money account: don't have enough money to use a mobile money account,_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,23.6101550970433,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,BFA,Burkina Faso,WB_FINDEX_FIN14D,Reason for not having a mobile money account: don't have enough money to use a mobile money account,_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,24.5012364960079,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,KHM,Cambodia,WB_FINDEX_FIN14D,Reason for not having a mobile money account: don't have enough money to use a mobile money account,_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,61.4648226944705,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,CMR,Cameroon,WB_FINDEX_FIN14D,Reason for not having a mobile money account: don't have enough money to use a mobile money account,_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,22.4805918668015,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,TCD,Chad,WB_FINDEX_FIN14D,Reason for not having a mobile money account: don't have enough money to use a mobile money account,_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,43.9618557958274,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,COM,Comoros,WB_FINDEX_FIN14D,Reason for not having a mobile money account: don't have enough money to use a mobile money account,_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,52.6860193509544,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,COD,"Congo, Dem. Rep.",WB_FINDEX_FIN14D,Reason for not having a mobile money account: don't have enough money to use a mobile money account,_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,42.8977225549811,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,COG,"Congo, Rep.",WB_FINDEX_FIN14D,Reason for not having a mobile money account: don't have enough money to use a mobile money account,_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,12.4670764283078,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,CIV,Cote d'Ivoire,WB_FINDEX_FIN14D,Reason for not having a mobile money account: don't have enough money to use a mobile money account,_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,19.8756413083875,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,SWZ,Eswatini,WB_FINDEX_FIN14D,Reason for not having a mobile money account: don't have enough money to use a mobile money account,_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,21.1157728528056,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,ETH,Ethiopia,WB_FINDEX_FIN14D,Reason for not having a mobile money account: don't have enough money to use a mobile money account,_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,63.1081183747186,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,GAB,Gabon,WB_FINDEX_FIN14D,Reason for not having a mobile money account: don't have enough money to use a mobile money account,_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,11.2721997809062,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,GMB,"Gambia, The",WB_FINDEX_FIN14D,Reason for not having a mobile money account: don't have enough money to use a mobile money account,_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,32.9114365424776,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,GHA,Ghana,WB_FINDEX_FIN14D,Reason for not having a mobile money account: don't have enough money to use a mobile money account,_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,7.71802896625079,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,GIN,Guinea,WB_FINDEX_FIN14D,Reason for not having a mobile money account: don't have enough money to use a mobile money account,_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,46.9121781138307,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,KEN,Kenya,WB_FINDEX_FIN14D,Reason for not having a mobile money account: don't have enough money to use a mobile money account,_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,3.41492487692347,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,LSO,Lesotho,WB_FINDEX_FIN14D,Reason for not having a mobile money account: don't have enough money to use a mobile money account,_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,11.867577775146,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,LBR,Liberia,WB_FINDEX_FIN14D,Reason for not having a mobile money account: don't have enough money to use a mobile money account,_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,33.1218138790701,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,MDG,Madagascar,WB_FINDEX_FIN14D,Reason for not having a mobile money account: don't have enough money to use a mobile money account,_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,42.5212446720954,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,MWI,Malawi,WB_FINDEX_FIN14D,Reason for not having a mobile money account: don't have enough money to use a mobile money account,_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,35.828746594705905,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
